Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Bearnaisesås Original 230ml Lohmanders,"29,90 kr","0.23L 130,00 kr/l",650 kcal,2750 kJ,74 g,5.7 g,0.6 g,0.5 g,,1 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaises%C3%A5s-original-230ml-lohmanders/2024316
Pasta Snack Pot Mac & Cheese 62g Knorr,"26,90 kr","0.062kg 433,87 kr/kg",101 kcal,444 kJ,2.1 g,1 g,17 g,2.7 g,0.5 g,3.5 g,0.62 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-snack-pot-mac-cheese-62g-knorr/2035349
Aioli lime 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,2950 kJ,77 g,5.6 g,1.3 g,0.8 g,,1.1 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-lime-230ml-eriks-s%C3%A5ser/1354065
Soldatens ärtsoppa med Fläsk 350g Knorr,"37,90 kr","0.5L 75,80 kr/l drickklar",142 kcal,594 kJ,5.5 g,2 g,11 g,0.9 g,4.6 g,9.5 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soldatens-%C3%A4rtsoppa-med-fl%C3%A4sk-350g-knorr/1005502
Herb & Garlicsauce 200g Farmers & Chefs,"32,90 kr","0.2kg 164,50 kr/kg",380 kcal,1600 kJ,40 g,2.8 g,4.3 g,1.3 g,,0.6 g,1.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herb-garlicsauce-200g-farmers-chefs/2141681
Vegokebabsås 250ml Schysst käk,"33,90 kr","0.25L 135,60 kr/l",440 kcal,1850 kJ,46 g,3.2 g,6.4 g,3.8 g,,0.5 g,2.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokebabs%C3%A5s-250ml-schysst-k%C3%A4k/2092931
Pizzadeg Napoli 300g POP! Bakery,"32,90 kr","0.3kg 109,67 kr/kg",249 kcal,1054 kJ,1.3 g,0.2 g,47 g,4.7 g,1.8 g,7.3 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzadeg-napoli-300g-pop-bakery/2154341
Sparrissoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",47 kcal,197 kJ,1.6 g,0.9 g,7.7 g,0.8 g,0.5 g,0.5 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sparrissoppa-3-portioner-6dl-varma-koppen/1008262
Het nudelsoppa 410g Weight Watchers,"26,90 kr","0.395L 68,10 kr/l",22 kcal,91 kJ,0.5 g,0.2 g,2.2 g,0.7 g,0.8 g,1.6 g,0.88 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/het-nudelsoppa-410g-weight-watchers/1353405
Bearnaise 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,79 g,5.6 g,0.5 g,0.5 g,,0.9 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaise-230ml-eriks-s%C3%A5ser/1354055
Färsk Pasta Ravioli Ricotta Spenat 250g Rana,"62,00 kr","0.25kg 248,00 kr/kg",251 kcal,1052 kJ,11 g,4.5 g,25 g,6.7 g,4.1 g,11 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-pasta-ravioli-ricotta-spenat-250g-rana/1454469
Hummus Original 275g Sevan,"42,90 kr","0.275kg 156,00 kr/kg",236 kcal,979 kJ,15.7 g,1.7 g,15 g,1.1 g,4.4 g,7.7 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-original-275g-sevan/2024326
