Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Varav polyoler,Fosfor,Vitamin B12,Vitamin D,Folsyra,Selen,Järn,Magnesium,Zink,Varav enkelomättat fett,Varav fleromättat fett,Fluorid,Vitamin B6,Natrium,Kalcium,Material,Kalium,Vitamin E,Pantotensyra,url
Noblesse Apelsin Crisp 150g Marabou,"69,00 kr","0.15kg 460,00 kr/kg",558 kcal,2336 kJ,35 g,21 g,55 g,50 g,4.7 g,0.35 g,2.3 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/noblesse-apelsin-crisp-150g-marabou/1006876
Chokladkaka Salta Mandlar 100g Ritter,"35,90 kr","0.1kg 359,00 kr/kg",563 kcal,2346 kJ,35 g,15 g,50 g,48 g,9 g,0.26 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-salta-mandlar-100g-ritter/2084383
Jordnöt & nötmix 175g ICA gott liv,"52,00 kr","0.175kg 297,14 kr/kg",620 kcal,2600 kJ,52 g,8 g,17 g,6 g,19 g,0.29 g,4.6 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jordn%C3%B6t-n%C3%B6tmix-175g-ica-gott-liv/1383752
Chokladkaka Mjölkchoklad 145g Fazer,"42,90 kr","0.145kg 295,86 kr/kg",550 kcal,2260 kJ,33 g,21 g,49 g,48 g,11 g,0.35 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladkaka-mj%C3%B6lkchoklad-145g-fazer/2033664
Pingvinstång Tivoli 27g Toms,"7,90 kr","0.027kg 292,59 kr/kg",375 kcal,1568 kJ,3.2 g,3 g,84 g,69 g,1.2 g,0.19 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pingvinst%C3%A5ng-tivoli-27g-toms/1128782
Torkad frukt Sweet Strawberry Mango 100g Sunshine Delights,"37,90 kr","0.1kg 379,00 kr/kg",334 kcal,1403 kJ,0.7 g,0.2 g,78 g,69 g,1.8 g,0.23 g,4.1 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torkad-frukt-sweet-strawberry-mango-100g-sunshine-delights/2165780
Piggelin 10-p 550ml GB Glace,"56,00 kr","10 per frp 5,60 kr/st",50 kcal,210 kJ,0.5 g,0.1 g,12 g,12 g,0.5 g,0.01 g,0.5 g,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/piggelin-10-p-550ml-gb-glace/2094359
Tuggummi Melon mint Burk 84g Extra,"56,00 kr","0.084kg 666,67 kr/kg",165 kcal,689 kJ,0 g,0 g,69 g,0 g,0 g,0.05 g,,69 g,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuggummi-melon-mint-burk-84g-extra/1508885
Chips Dill & Gräslök 275g OLW,"39,90 kr","0.275kg 145,09 kr/kg",520 kcal,2200 kJ,33 g,3.4 g,58 g,2.5 g,5 g,1.9 g,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chips-dill-gr%C3%A4sl%C3%B6k-275g-olw/1490341
Nötter Festivalmix 175g Nutisal,"42,90 kr","0.175kg 245,14 kr/kg",551 kcal,2289 kJ,39 g,6 g,31 g,7.8 g,17 g,1.5 g,6 g,,,,,,,,,,22 g,7.9 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tter-festivalmix-175g-nutisal/1484452
